date,county,state,fips,cases,deaths
03/25/2020,Richmond,New York,36085,2553,33
03/26/2020,New York,New York,36061,6698,111
03/26/2020,Bronx,New York,36005,7526,141
03/26/2020,Kings,New York,36047,11819,187
03/26/2020,Queens,New York,36081,12456,218
03/26/2020,Richmond,New York,36085,2957,43
03/27/2020,New York,New York,36061,7354,153
03/27/2020,Bronx,New York,36005,8614,176
03/27/2020,Kings,New York,36047,13253,262
03/27/2020,Queens,New York,36081,14034,276
03/27/2020,Richmond,New York,36085,3328,50
03/28/2020,New York,New York,36061,7740,181
03/28/2020,Bronx,New York,36005,9376,238
03/28/2020,Kings,New York,36047,14115,340
03/28/2020,Queens,New York,36081,15235,369
03/28/2020,Richmond,New York,36085,3594,63
03/29/2020,New York,New York,36061,8147,216
03/29/2020,Bronx,New York,36005,10076,293
03/29/2020,Kings,New York,36047,15262,430
03/29/2020,Queens,New York,36081,16312,464
03/29/2020,Richmond,New York,36085,3824,80
03/30/2020,New York,New York,36061,8952,250
03/30/2020,Bronx,New York,36005,11387,368
03/30/2020,Kings,New York,36047,17023,536
03/30/2020,Queens,New York,36081,18169,563
03/30/2020,Richmond,New York,36085,4222,91
03/31/2020,New York,New York,36061,9577,292
03/31/2020,Bronx,New York,36005,12671,465
03/31/2020,Kings,New York,36047,18542,662
03/31/2020,Queens,New York,36081,19975,660
03/31/2020,Richmond,New York,36085,4459,113
04/01/2020,New York,New York,36061,10151,351
04/01/2020,Bronx,New York,36005,13909,558
04/01/2020,Kings,New York,36047,20151,798
04/01/2020,Queens,New York,36081,21754,804
04/01/2020,Richmond,New York,36085,4722,129
04/02/2020,New York,New York,36061,10804,413
04/02/2020,Bronx,New York,36005,15195,655
04/02/2020,Kings,New York,36047,21794,966
04/02/2020,Queens,New York,36081,23572,944
04/02/2020,Richmond,New York,36085,5091,159
04/03/2020,New York,New York,36061,11478,465
04/03/2020,Bronx,New York,36005,16644,771
04/03/2020,Kings,New York,36047,23242,1107
04/03/2020,Queens,New York,36081,25332,1104
04/03/2020,Richmond,New York,36085,5436,188
04/04/2020,New York,New York,36061,11862,528
04/04/2020,Bronx,New York,36005,17655,878
04/04/2020,Kings,New York,36047,24165,1270
04/04/2020,Queens,New York,36081,26533,1261
04/04/2020,Richmond,New York,36085,5781,208
04/05/2020,New York,New York,36061,12221,614
04/05/2020,Bronx,New York,36005,18477,1001
04/05/2020,Kings,New York,36047,25316,1437
04/05/2020,Queens,New York,36081,27669,1443
04/05/2020,Richmond,New York,36085,6104,230
04/06/2020,New York,New York,36061,12941,683
04/06/2020,Bronx,New York,36005,19986,1113
04/06/2020,Kings,New York,36047,26814,1606
04/06/2020,Queens,New York,36081,29589,1645
04/06/2020,Richmond,New York,36085,6834,254
04/07/2020,New York,New York,36061,13545,775
04/07/2020,Bronx,New York,36005,21451,1228
04/07/2020,Kings,New York,36047,28235,1785
04/07/2020,Queens,New York,36081,31534,1828
04/07/2020,Richmond,New York,36085,7463,283
04/08/2020,New York,New York,36061,14090,841
04/08/2020,Bronx,New York,36005,22753,1342
04/08/2020,Kings,New York,36047,29560,1958
04/08/2020,Queens,New York,36081,33387,2010
04/08/2020,Richmond,New York,36085,8024,317
04/09/2020,New York,New York,36061,14653,906
04/09/2020,Bronx,New York,36005,24036,1450
04/09/2020,Kings,New York,36047,30933,2148
04/09/2020,Queens,New York,36081,34943,2182
04/09/2020,Richmond,New York,36085,8321,342
04/10/2020,New York,New York,36061,15153,975
04/10/2020,Bronx,New York,36005,25266,1568
04/10/2020,Kings,New York,36047,32091,2326
04/10/2020,Queens,New York,36081,36271,2337
04/10/2020,Richmond,New York,36085,8621,361
04/11/2020,New York,New York,36061,15462,1034
04/11/2020,Bronx,New York,36005,26262,1701
04/11/2020,Kings,New York,36047,33221,2486
04/11/2020,Queens,New York,36081,37255,2500
04/11/2020,Richmond,New York,36085,8933,389
04/12/2020,New York,New York,36061,15716,1097
04/12/2020,Bronx,New York,36005,27024,1811
04/12/2020,Kings,New York,36047,33922,2686
04/12/2020,Queens,New York,36081,38175,2674
04/12/2020,Richmond,New York,36085,9185,415
04/13/2020,New York,New York,36061,16109,1169
04/13/2020,Bronx,New York,36005,27716,1933
04/13/2020,Kings,New York,36047,34987,2845
04/13/2020,Queens,New York,36081,39149,2867
04/13/2020,Richmond,New York,36085,9370,440
04/14/2020,New York,New York,36061,16552,1228
04/14/2020,Bronx,New York,36005,28791,2044
04/14/2020,Kings,New York,36047,36024,2998
04/14/2020,Queens,New York,36081,40449,3030
04/14/2020,Richmond,New York,36085,9660,464
04/15/2020,New York,New York,36061,16984,1283
04/15/2020,Bronx,New York,36005,29857,2138
04/15/2020,Kings,New York,36047,36907,3129
04/15/2020,Queens,New York,36081,41628,3181
04/15/2020,Richmond,New York,36085,9977,488
04/16/2020,New York,New York,36061,17344,1339
04/16/2020,Bronx,New York,36005,30793,2224
04/16/2020,Kings,New York,36047,37792,3255
04/16/2020,Queens,New York,36081,42767,3313
04/16/2020,Richmond,New York,36085,10187,502
04/17/2020,New York,New York,36061,17678,1380
04/17/2020,Bronx,New York,36005,31705,2312
04/17/2020,Kings,New York,36047,38751,3373
04/17/2020,Queens,New York,36081,43866,3435
04/17/2020,Richmond,New York,36085,10467,517
04/18/2020,New York,New York,36061,17867,1437
04/18/2020,Bronx,New York,36005,32258,2374
04/18/2020,Kings,New York,36047,39325,3490
04/18/2020,Queens,New York,36081,44570,3571
04/18/2020,Richmond,New York,36085,10620,536
04/19/2020,New York,New York,36061,18043,1485
04/19/2020,Bronx,New York,36005,32790,2452
04/19/2020,Kings,New York,36047,39961,3608
04/19/2020,Queens,New York,36081,45438,3707
04/19/2020,Richmond,New York,36085,10754,555
04/20/2020,New York,New York,36061,18426,1534
04/20/2020,Bronx,New York,36005,33770,2530
04/20/2020,Kings,New York,36047,40943,3703
04/20/2020,Queens,New York,36081,46660,3833
04/20/2020,Richmond,New York,36085,10978,571
04/21/2020,New York,New York,36061,18800,1581
04/21/2020,Bronx,New York,36005,34408,2600
04/21/2020,Kings,New York,36047,41843,3794
04/21/2020,Queens,New York,36081,47596,3936
04/21/2020,Richmond,New York,36085,11194,582
04/22/2020,New York,New York,36061,19188,1618
04/22/2020,Bronx,New York,36005,35332,2667
04/22/2020,Kings,New York,36047,42696,3902
04/22/2020,Queens,New York,36081,48706,4022
04/22/2020,Richmond,New York,36085,11367,596
04/23/2020,New York,New York,36061,19589,1665
04/23/2020,Bronx,New York,36005,36065,2726
04/23/2020,Kings,New York,36047,43487,4008
04/23/2020,Queens,New York,36081,49494,4129
04/23/2020,Richmond,New York,36085,11495,609
04/24/2020,New York,New York,36061,20003,1713
04/24/2020,Bronx,New York,36005,36644,2788
04/24/2020,Kings,New York,36047,44117,4101
04/24/2020,Queens,New York,36081,50267,4227
04/24/2020,Richmond,New York,36085,11638,623
04/25/2020,New York,New York,36061,20151,1755
04/25/2020,Bronx,New York,36005,37058,2845
04/25/2020,Kings,New York,36047,44521,4177
04/25/2020,Queens,New York,36081,50807,4308
04/25/2020,Richmond,New York,36085,11726,632
04/26/2020,New York,New York,36061,20249,1789
04/26/2020,Bronx,New York,36005,37254,2899
04/26/2020,Kings,New York,36047,44853,4238
04/26/2020,Queens,New York,36081,51138,4398
04/26/2020,Richmond,New York,36085,11772,639
04/27/2020,New York,New York,36061,20554,1818
04/27/2020,Bronx,New York,36005,37806,2953
04/27/2020,Kings,New York,36047,45463,4326
04/27/2020,Queens,New York,36081,51861,4489
04/27/2020,Richmond,New York,36085,11879,648
04/28/2020,New York,New York,36061,20878,1852
04/28/2020,Bronx,New York,36005,38475,3009
04/28/2020,Kings,New York,36047,46178,4383
04/28/2020,Queens,New York,36081,52753,4562
04/28/2020,Richmond,New York,36085,12008,656
04/29/2020,New York,New York,36061,21165,1885
04/29/2020,Bronx,New York,36005,39032,3049
04/29/2020,Kings,New York,36047,46860,4455
04/29/2020,Queens,New York,36081,53445,4643
04/29/2020,Richmond,New York,36085,12132,670
04/30/2020,New York,New York,36061,21383,1919
04/30/2020,Bronx,New York,36005,39516,3094
04/30/2020,Kings,New York,36047,47460,4521
04/30/2020,Queens,New York,36081,54037,4710
04/30/2020,Richmond,New York,36085,12262,681
05/01/2020,New York,New York,36061,21630,1944
05/01/2020,Bronx,New York,36005,39962,3139
05/01/2020,Kings,New York,36047,47958,4576
05/01/2020,Queens,New York,36081,54657,4786
05/01/2020,Richmond,New York,36085,12339,689
05/02/2020,New York,New York,36061,21771,1967
05/02/2020,Bronx,New York,36005,40224,3188
05/02/2020,Kings,New York,36047,48222,4622
05/02/2020,Queens,New York,36081,54990,4847
05/02/2020,Richmond,New York,36085,12399,701
05/03/2020,New York,New York,36061,21874,2002
05/03/2020,Bronx,New York,36005,40375,3215
05/03/2020,Kings,New York,36047,48470,4668
05/03/2020,Queens,New York,36081,55238,4902
05/03/2020,Richmond,New York,36085,12434,716
05/04/2020,New York,New York,36061,22093,2021
05/04/2020,Bronx,New York,36005,40724,3250
05/04/2020,Kings,New York,36047,48932,4710
05/04/2020,Queens,New York,36081,55670,4957
05/04/2020,Richmond,New York,36085,12523,724
05/05/2020,New York,New York,36061,22338,2039
05/05/2020,Bronx,New York,36005,41018,3277
05/05/2020,Kings,New York,36047,49366,4759
05/05/2020,Queens,New York,36081,56132,5002
05/05/2020,Richmond,New York,36085,12601,736
05/06/2020,New York,New York,36061,22505,2056
05/06/2020,Bronx,New York,36005,41297,3306
05/06/2020,Kings,New York,36047,49818,4797
05/06/2020,Queens,New York,36081,56576,5060
05/06/2020,Richmond,New York,36085,12661,744
05/07/2020,New York,New York,36061,22623,2079
05/07/2020,Bronx,New York,36005,41594,3334
05/07/2020,Kings,New York,36047,50220,4842
05/07/2020,Queens,New York,36081,56933,5101
05/07/2020,Richmond,New York,36085,12721,748
05/08/2020,New York,New York,36061,22723,2092
05/08/2020,Bronx,New York,36005,41846,3356
05/08/2020,Kings,New York,36047,50564,4885
